64'	Harry Kane - FC Bayern München
120'	Penalty Shootout begins Manchester City 1, Real Madrid 1.
120'	Penalty saved. Luka Modric - Real Madrid - shot with right foot saved in the left corner.
120'	Penalty saved. Bernardo Silva - Manchester City - shot with left foot saved in the top centre of the goal.
120'	Penalty saved. Mateo Kovacic - Manchester City - shot with right foot saved in the left corner.
120'	Penalty Shootout ends, Manchester City 1 - 3 - , Real Madrid 1 - 4
68'	Álvaro Morata - Atletico Madrid
120'	Penalty Shootout begins Arsenal 1, FC Porto 0.
120'	Penalty saved. Wendell - FC Porto - shot with left foot saved in the right corner.
120'	Penalty saved. Galeno - FC Porto - shot with right foot saved in the right corner.
120'	Penalty Shootout ends, Arsenal 1 - 4 - , FC Porto 0 - 2
45+1'	Denzel Dumfries - Inter Milan
120'	Penalty Shootout begins Atletico Madrid 2, Inter Milan 1.
120'	Penalty saved. Alexis Sánchez - Inter Milan - shot with right foot saved in the top centre of the goal.
120'	Penalty saved. Saúl Ñíguez - Atletico Madrid - shot with left foot saved in the centre of the goal.
120'	Penalty saved. Davy Klaassen - Inter Milan - shot with right foot saved in the left corner.
120'	Penalty missed. Lautaro Martínez - Inter Milan - shot with right foot is high and wide to the right.
120'	Penalty Shootout ends, Atletico Madrid 2 - 3 - , Inter Milan 1 - 2

