MATCH_0: 	First Half starts.
MATCH_0: 1'	Delay in match - Borussia Dortmund
MATCH_0: 3'	Delay over. They are ready to continue.
MATCH_0: 3'	Fouled by Emre Can - Borussia Dortmund
MATCH_0: 3'	Jude Bellingham - Real Madrid - won a free kick in defence.
MATCH_0: 6'	Corner - Borussia Dortmund. Conceded by Ferland Mendy.
MATCH_0: 7'	Missed chance. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box missed to the left. Assist - Julian Brandt with a cross after corner.
MATCH_0: 12'	Missed chance. Federico Valverde - Real Madrid - shot with left foot from outside the box is high and wide to the left. Assist - Jude Bellingham.
MATCH_0: 13'	Fouled by Eduardo Camavinga - Real Madrid
MATCH_0: 13'	Jadon Sancho - Borussia Dortmund - won a free kick on the right wing.
MATCH_0: 14'	Missed chance. Julian Brandt - Borussia Dortmund - shot with right foot from the centre of the box missed. Assist - Niclas Füllkrug.
MATCH_0: 15'	Missed chance. Vinícius Júnior - Real Madrid - shot with left foot from the right side of the box is high and wide to the left. Assist - Federico Valverde.
MATCH_0: 18'	Fouled by Marcel Sabitzer - Borussia Dortmund
MATCH_0: 18'	Jude Bellingham - Real Madrid - won a free kick in attack.
MATCH_0: 21'	Shot blocked. Karim Adeyemi - Borussia Dortmund - shot with left foot from a diffucult position on the left is blocked. Assist - Mats Hummels with a through ball.
MATCH_0: 21'	Corner - Borussia Dortmund. Conceded by Dani Carvajal.
MATCH_0: 22'	Fouled by Niclas Füllkrug - Borussia Dortmund
MATCH_0: 22'	Jude Bellingham - Real Madrid - won a free kick in defence.
MATCH_0: 23'	Shot blocked. Karim Adeyemi - Borussia Dortmund - shot with left foot from the centre of the box is blocked. Assist - Marcel Sabitzer.
MATCH_0: 23'	Niclas Füllkrug - Borussia Dortmund - hits the right post with a shot with left foot from the centre of the box. Assist - Ian Maatsen with a through ball.
MATCH_0: 25'	Delay in match - injury Emre Can - Borussia Dortmund
MATCH_0: 26'	Delay over. They are ready to continue.
MATCH_0: 28'	New attacking attempt. Karim Adeyemi - Borussia Dortmund - shot with left foot from the left side of the box is saved in the right corner. Assist - Julian Brandt with a through ball.
MATCH_0: 28'	Missed chance. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box missed to the left following a fast break.
MATCH_0: 29'	Corner - Real Madrid. Conceded by Karim Adeyemi.
MATCH_0: 31'	Fouled by Federico Valverde - Real Madrid
MATCH_0: 31'	Karim Adeyemi - Borussia Dortmund - won a free kick on the left wing.
MATCH_0: 33'	Ferland Mendy - Real Madrid - won a free kick in defence.
MATCH_0: 33'	Fouled by Jadon Sancho - Borussia Dortmund
MATCH_0: 35'	Fouled by Vinícius Júnior - Real Madrid
MATCH_0: 35'	Gregor Kobel - Borussia Dortmund - won a free kick in defence.
MATCH_0: 35'	Vinícius Júnior - Real Madrid - receive yellow card for a foul.
MATCH_0: 38'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_0: 38'	Vinícius Júnior - Real Madrid - won a free kick on the left wing.
MATCH_0: 40'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_0: 40'	Vinícius Júnior - Real Madrid - won a free kick in defence.
MATCH_0: 40'	Nico Schlotterbeck - Borussia Dortmund - receive yellow card.
MATCH_0: 41'	New attacking attempt. Marcel Sabitzer - Borussia Dortmund - shot with right foot from outside the box is saved in the left corner. Assist - Julian Brandt.
MATCH_0: 41'	Corner - Borussia Dortmund. Conceded by Thibaut Courtois.
MATCH_0: 43'	Ferland Mendy - Real Madrid - won a free kick in defence.
MATCH_0: 43'	Fouled by Marcel Sabitzer - Borussia Dortmund
MATCH_0: 43'	Marcel Sabitzer - Borussia Dortmund - receive yellow card.
MATCH_0: 45+3'	Corner - Borussia Dortmund. Conceded by Ferland Mendy.
MATCH_0: 45+4'	Corner - Borussia Dortmund. Conceded by Jude Bellingham.
MATCH_0: 45+5'	Antonio Rüdiger - Real Madrid - won a free kick in defence.
MATCH_0: 45+5'	Fouled by Emre Can - Borussia Dortmund
MATCH_0: 45+5'	First Half ended - Borussia Dortmund 0, Real Madrid 0.
MATCH_0: 45'	Second Half starts Borussia Dortmund 0, Real Madrid 0.
MATCH_0: 47'	Corner - Borussia Dortmund. Conceded by Jude Bellingham.
